log_header, utc_hhmmss, pos_status, lat, lat_dir, lon, lon_dir, speed_kn, track_true, dt, mag_var, var_dir, checksum
$GPRMC,071921.00,A,4923.084534,N,02141.771132,E,056.4,195.2,030619,,,A*52
$GPRMC,071922.00,A,4923.069239,N,02141.764748,E,056.7,197.8,030619,,,A*5C
$GPRMC,071923.00,A,4923.053796,N,02141.757141,E,056.7,198.2,030619,,,A*5E
$GPRMC,071924.00,A,4923.038784,N,02141.749261,E,055.4,197.1,030619,,,A*55
$GPRMC,071925.00,A,4923.024097,N,02141.742436,E,053.5,197.0,030619,,,A*55
$GPRMC,071926.00,A,4923.010164,N,02141.736023,E,051.3,196.5,030619,,,A*5F
$GPRMC,071927.00,A,4922.996557,N,02141.729770,E,051.5,195.0,030619,,,A*53
$GPRMC,071928.00,A,4922.983089,N,02141.724090,E,051.3,195.0,030619,,,A*5C
$GPRMC,071929.00,A,4922.969604,N,02141.718458,E,050.0,194.9,030619,,,A*5F
$GPRMC,071930.00,A,4922.956510,N,02141.712907,E,048.5,195.1,030619,,,A*55
$GPRMC,071931.00,A,4922.943774,N,02141.707556,E,047.0,195.1,030619,,,A*56
$GPRMC,071932.00,A,4922.931569,N,02141.702373,E,045.2,195.3,030619,,,A*58
$GPRMC,071933.00,A,4922.919631,N,02141.697169,E,043.9,195.2,030619,,,A*55
$GPRMC,071934.00,A,4922.908080,N,02141.692385,E,042.4,194.9,030619,,,A*5D
$GPRMC,071935.00,A,4922.897174,N,02141.687866,E,040.2,195.0,030619,,,A*5F
$GPRMC,071936.00,A,4922.886880,N,02141.683520,E,038.9,194.7,030619,,,A*57
$GPRMC,071937.00,A,4922.876864,N,02141.679479,E,037.6,193.8,030619,,,A*53
$GPRMC,071938.00,A,4922.866621,N,02141.675667,E,038.8,193.6,030619,,,A*5C
$GPRMC,071939.00,A,4922.856306,N,02141.671702,E,037.2,193.4,030619,,,A*5F
$GPRMC,071940.00,A,4922.846501,N,02141.668173,E,036.0,191.0,030619,,,A*5C
$GPRMC,071941.00,A,4922.836683,N,02141.665324,E,036.9,187.2,030619,,,A*52
$GPRMC,071942.00,A,4922.825775,N,02141.663487,E,038.9,185.2,030619,,,A*5F
$GPRMC,071943.00,A,4922.814971,N,02141.662217,E,039.2,185.5,030619,,,A*55
$GPRMC,071944.00,A,4922.804481,N,02141.660701,E,038.5,185.2,030619,,,A*50
$GPRMC,071945.00,A,4922.793702,N,02141.659215,E,038.8,185.3,030619,,,A*5E
$GPRMC,071946.00,A,4922.782615,N,02141.657769,E,040.3,184.8,030619,,,A*54
$GPRMC,071947.00,A,4922.771225,N,02141.656184,E,040.9,185.4,030619,,,A*5D
$GPRMC,071948.00,A,4922.759149,N,02141.654439,E,043.9,186.3,030619,,,A*57
$GPRMC,071949.00,A,4922.746433,N,02141.652553,E,044.5,187.6,030619,,,A*54
$GPRMC,071950.00,A,4922.734167,N,02141.650079,E,044.6,187.7,030619,,,A*50
$GPRMC,071951.00,A,4922.721817,N,02141.647693,E,044.3,186.9,030619,,,A*55
$GPRMC,071952.00,A,4922.709545,N,02141.645463,E,044.9,187.8,030619,,,A*53
$GPRMC,071953.00,A,4922.697389,N,02141.643012,E,043.6,187.6,030619,,,A*50
$GPRMC,071954.00,A,4922.685486,N,02141.640576,E,042.2,187.2,030619,,,A*59
$GPRMC,071955.00,A,4922.673979,N,02141.638258,E,041.4,187.5,030619,,,A*5A
$GPRMC,071956.00,A,4922.663364,N,02141.636045,E,040.8,185.6,030619,,,A*52
$GPRMC,071957.00,A,4922.652623,N,02141.634725,E,040.0,185.8,030619,,,A*52
$GPRMC,071958.00,A,4922.641960,N,02141.633362,E,038.0,186.7,030619,,,A*54
$GPRMC,071959.00,A,4922.631561,N,02141.631608,E,038.1,187.3,030619,,,A*50
$GPRMC,072000.00,A,4922.621223,N,02141.629601,E,037.7,187.6,030619,,,A*5A
$GPRMC,072001.00,A,4922.611327,N,02141.627494,E,037.3,188.6,030619,,,A*56
$GPRMC,072002.00,A,4922.601161,N,02141.625213,E,038.1,188.0,030619,,,A*54
$GPRMC,072003.00,A,4922.591038,N,02141.623060,E,037.2,187.2,030619,,,A*53
$GPRMC,072004.00,A,4922.581031,N,02141.621198,E,037.5,187.3,030619,,,A*5E
$GPRMC,072005.00,A,4922.571146,N,02141.619447,E,037.5,187.4,030619,,,A*5A
$GPRMC,072006.00,A,4922.561648,N,02141.617749,E,035.8,186.6,030619,,,A*5E
$GPRMC,072007.00,A,4922.552472,N,02141.616304,E,035.1,186.5,030619,,,A*52
$GPRMC,072008.00,A,4922.543687,N,02141.614975,E,033.4,186.6,030619,,,A*5B
$GPRMC,072009.00,A,4922.535037,N,02141.613566,E,031.8,188.2,030619,,,A*5B
$GPRMC,072010.00,A,4922.526542,N,02141.611785,E,032.6,187.5,030619,,,A*5E
$GPRMC,072011.00,A,4922.517614,N,02141.610179,E,033.5,186.4,030619,,,A*5B
$GPRMC,072012.00,A,4922.508015,N,02141.608742,E,034.9,185.8,030619,,,A*52
$GPRMC,072013.00,A,4922.497728,N,02141.607303,E,036.7,186.6,030619,,,A*52
$GPRMC,072014.00,A,4922.487500,N,02141.605595,E,037.6,186.6,030619,,,A*57
$GPRMC,072015.00,A,4922.476154,N,02141.603610,E,039.3,186.6,030619,,,A*5E
$GPRMC,072016.00,A,4922.462152,N,02141.601184,E,046.7,184.5,030619,,,A*5B
$GPRMC,072017.00,A,4922.446714,N,02141.599479,E,051.6,184.1,030619,,,A*5E
$GPRMC,072018.00,A,4922.430510,N,02141.597467,E,053.8,187.6,030619,,,A*5F
$GPRMC,072019.00,A,4922.414396,N,02141.593927,E,056.0,190.1,030619,,,A*51
$GPRMC,072020.00,A,4922.398480,N,02141.590040,E,055.6,190.1,030619,,,A*56
$GPRMC,072021.00,A,4922.382754,N,02141.586065,E,056.3,188.9,030619,,,A*51
$GPRMC,072022.00,A,4922.367100,N,02141.582553,E,055.3,188.7,030619,,,A*57
$GPRMC,072023.00,A,4922.351864,N,02141.579302,E,055.7,188.2,030619,,,A*5F
$GPRMC,072024.00,A,4922.337612,N,02141.576572,E,051.5,187.9,030619,,,A*5B
$GPRMC,072025.00,A,4922.323928,N,02141.574013,E,049.3,188.2,030619,,,A*52
$GPRMC,072026.00,A,4922.310766,N,02141.571429,E,046.5,188.4,030619,,,A*52
$GPRMC,072027.00,A,4922.298463,N,02141.568820,E,045.6,186.9,030619,,,A*5A
$GPRMC,072028.00,A,4922.286182,N,02141.566854,E,045.3,186.4,030619,,,A*55
$GPRMC,072029.00,A,4922.274081,N,02141.564995,E,044.6,185.8,030619,,,A*5E
$GPRMC,072030.00,A,4922.262108,N,02141.563332,E,043.5,185.7,030619,,,A*5A
$GPRMC,072031.00,A,4922.250418,N,02141.561819,E,041.7,185.9,030619,,,A*50
$GPRMC,072032.00,A,4922.239040,N,02141.560175,E,040.4,185.9,030619,,,A*55
$GPRMC,072033.00,A,4922.227658,N,02141.558369,E,041.4,186.4,030619,,,A*5F
$GPRMC,072034.00,A,4922.216032,N,02141.556275,E,043.2,191.4,030619,,,A*50
$GPRMC,072035.00,A,4922.204013,N,02141.552250,E,044.6,195.7,030619,,,A*56
$GPRMC,072036.00,A,4922.191047,N,02141.545832,E,047.1,199.5,030619,,,A*59
$GPRMC,072037.00,A,4922.177012,N,02141.537484,E,053.1,202.6,030619,,,A*53
$GPRMC,072038.00,A,4922.162923,N,02141.527796,E,054.7,205.2,030619,,,A*50
$GPRMC,072039.00,A,4922.148546,N,02141.516724,E,054.9,212.9,030619,,,A*5E
$GPRMC,072040.00,A,4922.135354,N,02141.502859,E,053.5,215.2,030619,,,A*58
$GPRMC,072041.00,A,4922.123082,N,02141.489058,E,052.7,218.0,030619,,,A*51
$GPRMC,072042.00,A,4922.111979,N,02141.475407,E,050.8,214.7,030619,,,A*55
$GPRMC,072043.00,A,4922.100544,N,02141.463273,E,049.6,211.3,030619,,,A*53
$GPRMC,072044.00,A,4922.088791,N,02141.452287,E,049.0,206.1,030619,,,A*54
$GPRMC,072045.00,A,4922.076513,N,02141.443176,E,047.5,205.8,030619,,,A*50
$GPRMC,072046.00,A,4922.064447,N,02141.434570,E,046.2,205.1,030619,,,A*5D
$GPRMC,072047.00,A,4922.052733,N,02141.426193,E,045.5,205.5,030619,,,A*53
$GPRMC,072048.00,A,4922.041459,N,02141.417755,E,044.2,204.9,030619,,,A*54
$GPRMC,072049.00,A,4922.030317,N,02141.409661,E,043.5,204.2,030619,,,A*5C
$GPRMC,072050.00,A,4922.019251,N,02141.402011,E,042.8,204.3,030619,,,A*5B
$GPRMC,072051.00,A,4922.009096,N,02141.395044,E,039.2,205.2,030619,,,A*5D
$GPRMC,072052.00,A,4921.999731,N,02141.388441,E,037.4,206.0,030619,,,A*53
